log_adj,smiles,group
1.253077969,O(CC=1NC(=O)c2cc(ccc2N=1)-c1cn[nH]c1)c1cc(OC)ccc1,training
0.803494821,O=C(N[C@@H]([C@H](O)C)C(=O)NO)c1ccc(cc1)-c1ccc(cc1)CC,training
2.309522345,CCC1=CC(=C(O)C=C1)C(C)(C)C,training
1.065083696,Clc1c2n(nc1C(=O)N1CC(=O)N(CC1)C1C[C@@H]3[C@H](C1)C3)C(=CC(=C2)C1CC1)C(F)(F)F,training
2.844746805,Fc1cc2nc([nH]c2cc1)CCCn1c2CCCCc2c2cc(ccc12)-c1onc(n1)C,training
2.071810521,CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O,training
0.859333194,Clc1ccc(cc1C(=O)NCC1(O)CCCCCC1)-c1n[nH]c(c1)C,training
1.193918797,S(CCC)c1cc2[nH]c(nc2cc1)NC(OC)=O,training
1.279288074,O=C(NO)\C=C\c1cc2nc(n(c2cc1)CC(CN(C)C)(C)C)CCc1ccccc1,training
2.527548873,S(=O)(=O)(C)c1cc(Oc2cc(-n3c4c(nc3CC(C)C)c(ccc4)C(F)(F)F)ccc2)ccc1,training
0.513844682,[nH]1c2ncc3nc(n(c3c2cc1)C1CCC(NCCC#N)CC1)C,training
0.280116172,O=C(Nc1cc2c(CCNC2)cc1)c1cc(ccc1)CNC(=O)Nc1ccc(cc1)C#N,training
1.023408833,O(C)c1cc(ccc1OC)C(=O)NCc1cc(ccc1)C(=O)Nc1ccc(cc1)CO,training
1.795571826,o1cccc1C(=O)N([C@@H](C(=O)NC(C)(C)C)c1cccnc1)c1ccc(cc1)C(C)(C)C,training
0.794655393,O=C(N)N1c2c(C=Cc3c1cccc3)cccc2,training
1.492198902,COC1=CC=C(C=C1)C1SC2=CC=CC=C2N(CCN(C)C)C(=O)C1OC(C)=O,training
0.537349786,Clc1cccc(Cl)c1NC1=NC(CN1)C,training
1.03383343,Fc1c2c([nH]cc2C(=O)C(=O)N2CCN(CC2)C(=O)c2ccccc2)c(cc1)-c1[nH]cnn1,training
1.737439807,O=C1N(c2c(N1C(C)=C)ccnc2)Cc1nc2c(n1CCCC#N)cccc2,training
0.518668729,n12c(ncc1)C=NC(=C2c1ccccc1)c1ccc(cc1)C1(N)CCC1,training
1.118938419,s1ccnc1C\1=NNC(=O)/C/1=C\c1c2c(n(c1)C)cccc2OCc1ccccc1,training
1.507709994,O(C)c1cc(ccc1OC)CN1C(=O)c2c(cccc2N2CCN(CC2)[C@H](C)c2ccccc2)C1=O,training
2.013481905,F[C@H]1C[C@@H](CC[C@H]1O)\C=C(/C)\[C@H]1OC(=O)[C@H]2N(CCCC2)C(=O)C(=O)[C@@]2(O[C@@H]([C@@H](OC)C[C@H]2C)[C@@H](OC)C[C@H](C\C(=C\[C@@H](CC)C(=O)C[C@H](O)[C@H]1C)\C)C)O,training
1.154732383,s1c2c(cc(NC(=O)C(NC(=O)c3cc4n(C)c(c(c4cc3)C3CCCCC3)-c3ncccc3)(C)C)cc2)c(C)c1C(O)=O,training
1.039974549,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N(C2C(CCCC2)C=1O)CCC(C)C)C,training
2.200265522,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,training
0.763147472,O=C(NCc1ccc(-n2c3ncccc3nc2-c2cccnc2N)cc1)c1ccccc1,training
0.288168392,O(CC)c1ccccc1C(=O)NCC1(N2CCNCC2)CCCCC1,training
0.723430819,n1c2CCNCCc2cnc1Cc1ccccc1,training
0.936600044,O=C1N(CC(=O)NCCONC(N)=N)C(=CN=C1NCCc1c2c(ccc1)cccc2)C,training
